Archivo,Bib_Corredor,Club / Jersey,Gadgets_Detectados,Nivel_Emocion
697252370_122184317618592376_2630912094616755859_n.jpg,51,Genérico / Independiente,Headphones,Concentrado
697252370_122184317618592376_2630912094616755859_n.jpg,1351,Genérico / Independiente,A smartwatch,Concentrado
697252370_122184317618592376_2630912094616755859_n.jpg,673,Genérico / Independiente,A smartwatch,Agotado
697252370_122184317618592376_2630912094616755859_n.jpg,1876,Genérico / Independiente,A smartwatch,Concentrado
697252370_122184317618592376_2630912094616755859_n.jpg,1792,Genérico / Independiente,A smartwatch,Concentrado
697252370_122184317618592376_2630912094616755859_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
687587340_122224090784582925_3712720393538483759_n.jpg,1222,Genérico / Independiente,A smartwatch,Agotado
687587340_122224090784582925_3712720393538483759_n.jpg,1084,Genérico / Independiente,A smartwatch,Concentrado
687587340_122224090784582925_3712720393538483759_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Agotado
687587340_122224090784582925_3712720393538483759_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
687587340_122224090784582925_3712720393538483759_n.jpg,915,Genérico / Independiente,A smartwatch,Concentrado
687587340_122224090784582925_3712720393538483759_n.jpg,348,Genérico / Independiente,A smartwatch,Concentrado
687587340_122224090784582925_3712720393538483759_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
687587340_122224090784582925_3712720393538483759_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
687587340_122224090784582925_3712720393538483759_n.jpg,No detectado,Genérico / Independiente,Sports sunglasses,Alta Energía / Positiva
697792912_122184316934592376_8735705726874058468_n.jpg,1624,Genérico / Independiente,A smartwatch,Concentrado
697792912_122184316934592376_8735705726874058468_n.jpg,1898,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697792912_122184316934592376_8735705726874058468_n.jpg,2147,Genérico / Independiente,A smartwatch,Concentrado
697792912_122184316934592376_8735705726874058468_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697792912_122184316934592376_8735705726874058468_n.jpg,13,Genérico / Independiente,A smartwatch,Concentrado
697792912_122184316934592376_8735705726874058468_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Alta Energía / Positiva
697406926_122184315710592376_5934002625339433247_n.jpg,No detectado,CALICO,Headphones,Concentrado
689010591_122224089386582925_4110240481674692768_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
689010591_122224089386582925_4110240481674692768_n.jpg,686,Genérico / Independiente,A smartwatch,Concentrado
689010591_122224089386582925_4110240481674692768_n.jpg,650,Genérico / Independiente,A smartwatch,Concentrado
689010591_122224089386582925_4110240481674692768_n.jpg,650,Genérico / Independiente,A smartwatch,Agotado
689010591_122224089386582925_4110240481674692768_n.jpg,14,Genérico / Independiente,A smartwatch,Agotado
689010591_122224089386582925_4110240481674692768_n.jpg,No detectado,Genérico / Independiente,Headphones,Concentrado
689010591_122224089386582925_4110240481674692768_n.jpg,No detectado,Genérico / Independiente,A smartwatch,Concentrado
